     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
             0  0.000108              0.000000       0.457125       0.000009      **********
             1  0.000108              0.000108       0.457150       0.000009      **********
             2  0.000108              0.000216       0.457164       0.000009      **********
             3  0.000108              0.000323       0.457167       0.000009      **********
             4  0.000108              0.000431       0.457164       0.000009      **********
             5  0.000108              0.000539       0.457156       0.000009      **********
             6  0.000108              0.000647       0.457175       0.000009      **********
             7  0.000108              0.000754       0.457179       0.000009      **********
             8  0.000108              0.000862       0.457173       0.000009      **********
             9  0.000108              0.000970       0.457159       0.000009      **********
            10  0.000108              0.001078       0.457153       0.000009      **********
            11  0.000108              0.001186       0.457153       0.000009      **********
            12  0.000108              0.001293       0.457141       0.000009      **********
            13  0.000108              0.001401       0.457122       0.000009      **********
            14  0.000108              0.001509       0.457104       0.000009      **********
            15  0.000108              0.001617       0.457106       0.000009      **********
            16  0.000108              0.001724       0.457110       0.000009      **********
            17  0.000108              0.001832       0.457114       0.000009      **********
            18  0.000108              0.001940       0.457118       0.000009      **********
            19  0.000108              0.002048       0.457122       0.000009      **********
            20  0.000108              0.002156       0.457125       0.000009      **********
            21  0.000108              0.002263       0.457128       0.000009      **********
            22  0.000108              0.002371       0.457131       0.000009      **********
            23  0.000108              0.002479       0.457132       0.000009      **********
            24  0.000108              0.002587       0.457133       0.000009      **********
            25  0.000108              0.002695       0.457133       0.000009      **********
            26  0.000108              0.002802       0.457133       0.000009      **********
            27  0.000108              0.002910       0.457132       0.000009      **********
            28  0.000108              0.003018       0.457131       0.000009      **********
            29  0.000108              0.003126       0.457129       0.000009      **********
            30  0.000108              0.003233       0.457128       0.000009      **********
            31  0.000108              0.003341       0.457126       0.000009      **********
            32  0.000108              0.003449       0.457125       0.000009      **********
            33  0.000108              0.003557       0.457123       0.000009      **********
            34  0.000108              0.003665       0.457122       0.000009      **********
            35  0.000108              0.003772       0.457134       0.000009      **********
            36  0.000108              0.003880       0.457305       0.000009      **********
            37  0.000108              0.003988       0.457526       0.000009      **********
            38  0.000108              0.004096       0.457885       0.000009      **********
            39  0.000108              0.004203       0.458298       0.000009      **********
            40  0.000108              0.004311       0.458828       0.000009      **********
            41  0.000108              0.004419       0.459397       0.000009      **********
            42  0.000108              0.004527       0.460190       0.000009      **********
            43  0.000108              0.004635       0.460871       0.000009      **********
            44  0.000108              0.004742       0.461945       0.000009      **********
            45  0.000108              0.004850       0.462995       0.000009      **********
            46  0.000108              0.004958       0.463900       0.000009      **********
            47  0.000108              0.005066       0.465411       0.000009      **********
            48  0.000108              0.005173       0.466877       0.000009      **********
            49  0.000108              0.005281       0.468148       0.000009      **********
            50  0.000108              0.005389       0.469365       0.000009      **********
            51  0.000108              0.005497       0.471534       0.000009      **********
            52  0.000108              0.005605       0.473448       0.000009      **********
            53  0.000108              0.005712       0.475115       0.000009      **********
            54  0.000108              0.005820       0.476548       0.000009      **********
            55  0.000108              0.005928       0.478428       0.000009      **********
            56  0.000108              0.006036       0.481111       0.000009      **********
            57  0.000108              0.006143       0.483495       0.000009      **********
            58  0.000108              0.006251       0.485584       0.000009      **********
            59  0.000108              0.006359       0.487387       0.000009      **********
            60  0.000108              0.006467       0.488913       0.000009      **********
            61  0.000108              0.006575       0.491379       0.000009      **********
            62  0.000108              0.006682       0.494564       0.000009      **********
            63  0.000108              0.006790       0.497413       0.000009      **********
            64  0.000108              0.006898       0.499927       0.000009      **********
            65  0.000108              0.007006       0.502112       0.000009      **********
            66  0.000108              0.007114       0.503973       0.000009      **********
            67  0.000108              0.007221       0.505516       0.000009      **********
            68  0.000108              0.007329       0.508235       0.000009      **********
            69  0.000108              0.007437       0.511859       0.000009      **********
            70  0.000108              0.007545       0.515122       0.000009      **********
            71  0.000108              0.007652       0.518022       0.000009      **********
            72  0.000108              0.007760       0.520562       0.000009      **********
            73  0.000108              0.007868       0.522741       0.000009      **********
            74  0.000108              0.007976       0.524565       0.000009      **********
            75  0.000108              0.008084       0.526036       0.000009      **********
            76  0.000108              0.008191       0.528650       0.000009      **********
            77  0.000108              0.008299       0.532590       0.000009      **********
            78  0.000108              0.008407       0.536157       0.000009      **********
            79  0.000108              0.008515       0.539348       0.000009      **********
            80  0.000108              0.008622       0.542158       0.000009      **********
